hcpcs_code,modifier,status_code,work_rvu,non_facility_pe_rvu,facility_pe_rvu,malpractice_rvu,total_non_facility,total_facility,conversion_factor,rate_non_facility,rate_facility
0446T,,A,1.11,188.02,0.26,0.09,189.22,1.46,33.4009,6320.12,48.77
0447T,,A,1.31,1.63,0.3,0.08,3.02,1.69,33.4009,100.87,56.45
0448T,,A,1.86,184.18,0.43,0.17,186.21,2.46,33.4009,6219.58,82.17
0509T,,A,0.39,1.92,1.92,0.02,2.33,2.33,33.4009,77.82,77.82
0509T,26,A,0.39,0.23,0.23,0.01,0.63,0.63,33.4009,21.04,21.04
0509T,TC,A,0.0,1.69,1.69,0.01,1.7,1.7,33.4009,56.78,56.78
0583T,,A,2.63,42.27,0.97,0.16,45.06,3.76,33.4009,1505.04,125.59
0596T,,A,2.37,57.93,0.82,0.15,60.45,3.34,33.4009,2019.08,111.56
0597T,,A,1.02,16.78,0.52,0.06,17.86,1.6,33.4009,596.54,53.44
0605T,,A,0.0,22.64,22.64,0.07,22.71,22.71,33.4009,758.53,758.53
10004,,A,0.78,0.68,0.19,0.13,1.59,1.1,33.4009,53.11,36.74
10005,,A,1.42,2.37,0.28,0.17,3.96,1.87,33.4009,132.27,62.46
10006,,A,0.98,0.71,0.2,0.11,1.8,1.29,33.4009,60.12,43.09
10007,,A,1.76,8.28,0.37,0.27,10.31,2.4,33.4009,344.36,80.16
10008,,A,1.15,2.93,0.11,0.15,4.23,1.41,33.4009,141.29,47.1
10009,,A,2.2,9.92,0.36,0.23,12.35,2.79,33.4009,412.5,93.19
10010,,A,1.61,5.22,0.15,0.21,7.04,1.97,33.4009,235.14,65.8
10021,,A,1.0,1.88,0.24,0.14,3.02,1.38,33.4009,100.87,46.09
10030,,A,2.68,15.56,0.51,0.35,18.59,3.54,33.4009,620.92,118.24
10035,,A,1.66,8.51,0.3,0.17,10.34,2.13,33.4009,345.37,71.14
10036,,A,0.83,7.76,0.16,0.11,8.7,1.1,33.4009,290.59,36.74
10040,,A,0.89,2.42,0.3,0.08,3.39,1.27,33.4009,113.23,42.42
10060,,A,1.19,2.53,1.69,0.13,3.85,3.01,33.4009,128.59,100.54
10061,,A,2.39,3.87,2.47,0.33,6.59,5.19,33.4009,220.11,173.35
10080,,A,1.19,6.68,1.76,0.2,8.07,3.15,33.4009,269.55,105.21
10081,,A,2.44,8.46,2.13,0.48,11.38,5.05,33.4009,380.1,168.67
